sale_id,client,product,amount,country,totalValue
1,Lorianna Micheau,Laptop Backpack,554.55,Russia,9137.84
2,Levi Winger,Sliced Avocado,991.93,Ecuador,6462.12
3,Aristotle Pashan,Air Fryer,255.78,Peru,7630.8
4,Christabella Sapson,Cotton Sweatpants,322.55,Portugal,2252.27
5,Brod Nelthorp,Dog Training Clicker,558.84,China,2952.08
6,Anatol Loveland,Smart Home Security Camera,662.6,Hungary,5586.49
7,Charline Saffin,Chocolate Syrup,347.87,Brazil,3623.29
8,Nelle Tedorenko,Cocktail Shaker and Mixing Glass Set,704.42,Ecuador,7055.67
9,Ulrick Fuxman,High-Quality Yoga Mat,668.57,Mexico,3818.96
10,Gillie Camings,Electric Toothbrush,615.31,France,3279.85
11,Abagael Duchart,Dill Pickle Chips,544.65,Martinique,8557.08
12,Cati Hoofe,Vanilla Pudding Mix,528.69,Bosnia and Herzegovina,2304.22
13,Prudence Haryngton,Tomatillo Salsa,48.84,Philippines,4795.44
14,Carce Dowle,Wi-Fi Enabled Smart Light Switch,162.62,Ukraine,9457.79
15,Hope Cluff,Smart Air Purifier,990.94,China,4969.49
16,Jarrett Haffard,Mini Air Purifier,940.92,Saint Lucia,5465.94
17,Ermina Helliar,Lasagna Noodles,997.85,France,327.39
18,Jobyna Freathy,Pizza Stone,854.97,Portugal,4961.32
19,Faydra Sharply,Cacao Powder,184.72,Poland,3300.7
20,Dame Gubbin,Pet Travel Backpack Carrier,436.2,Portugal,1473.98
21,Ronda McPhilip,Whole Wheat Bread,25.32,Dominican Republic,3591.66
22,Clemmie Byne,Electric Hot Pot,459.72,China,5638.59
23,Lolly Pollett,Shoe Organizer,58.63,China,4113.98
24,Beatriz Whalebelly,Honey Almond Granola Bars,377.3,Colombia,6009.87
25,Kissie Teresia,Electric Heating Pad,302.67,Russia,2597.69
26,Fraze Jarman,Shredded Cheese,900.09,Taiwan,6266.83
27,Chester Hackforth,Pet Training Pads,233.21,Democratic Republic of the Congo,9712.47
28,Artemus MacGhee,Crispy Chickpeas,711.75,Venezuela,8048.37
29,Dyan Ruberti,Foldable Picnic Table,533.24,Brazil,3458.05
30,Christen Coronado,Vanilla Bean Greek Yogurt,519.31,Indonesia,655.88
31,Lemuel Papis,Wine Glasses,35.98,Philippines,7327.13
32,Rollins Thorrington,Granola Cereal,431.4,Russia,3709.11
33,Paxon Pernell,Cranberry Citrus Sauce,483.85,Canada,5317.72
34,Millie Minshull,Electric Hot Water Dispenser,515.81,Cuba,67.01
35,Chanda Cellone,Portable Pet Water Bottle,122.88,China,7877.27
36,Portia Lillee,Almond Flour Pizza Crust,777.97,China,8235.03
37,Rosco Longden,Granulated Sugar,211.64,Georgia,6600.59
38,Richart Woolacott,Fashionable Belt Bag,680.27,Czech Republic,278.74
39,Inglebert Tilte,Sweet Potato Chips,643.29,Afghanistan,9695.31
40,Germain Fruin,Almond Joy Protein Bars,658.91,Indonesia,4541.05
41,Hortense Bramhall,Maple Pecan Pancake Mix,655.96,China,2905.17
42,Richmond Petheridge,Inspirational Wall Art,245.76,Japan,8818.49
43,Joachim Raffin,Graphic Tee,97.39,Philippines,3445.83
44,Arabel Andriolli,Cheesy Broccoli Soup Mix,181.44,Mexico,7522.64
45,Myrtie Ind,Car Vacuum Cleaner,112.97,Mexico,7418.7
46,Wain Somner,Thai Red Curry Paste,682.07,China,4560.44
47,Shelba Izhak,Honey Garlic Chicken,297.05,China,1592.56
48,Dario Mathissen,Energy Protein Bars,34.76,China,4593.49
49,Vania Pilsworth,Vanilla Bean Greek Yogurt,640.32,Portugal,9337.66
50,Brooks Ovid,Kale Chips,159.07,Indonesia,4870.27
51,Hana Dumingos,Couscous,339.26,Gabon,4245.63
52,Darleen Haker,Stainless Steel Water Pitcher,149.2,Bangladesh,6404.94
53,Sela Bierling,Gaming Mousepad,725.49,China,7550.69
54,Bobinette Guage,Coconut Milk Yogurt,991.85,Syria,7122.02
55,Krystal Faldoe,Nut Butter Cups,574.3,Oman,3352.89
56,Em Agutter,Travel Pillow,264.88,Venezuela,9987.16
57,Leonard Cockshutt,Garlic Herb Seasoning,312.22,China,6373.92
58,Modestia Schurig,Cinnamon Roll Protein Bar,658.2,Japan,3869.33
59,Samaria Sabatier,Deluxe First Aid Kit,383.83,Thailand,9930.86
60,Charmane Avey,Almond Milk Yogurt,475.23,China,1812.94
61,Giacomo Tollfree,Vanilla Ice Cream,61.94,China,4723.51
62,Bellina Lunney,Vegetable Sushi Rolls,337.65,China,4076.92
63,Shea Cory,Smart LED Desk Lamp,965.61,Canada,9155.43
64,Theodora Lucus,Mini Projector for Smartphones,803.05,China,2933.04
65,Garrott Siemantel,Habanero Hot Sauce,717.17,China,4890.67
66,Udell Naisby,Balsamic Salad Dressing,738.53,Portugal,3143.32
67,Rosemaria Parysowna,Cacao Powder,119.82,Burundi,3469.81
68,Eduard Stowte,Coconut Flakes,224.78,Greece,136.56
